id,name,name_en,lat,lng,radius_m,category,region,district,grade,xp_reward,requires_confirmation,description,badge_concept,badge_color,badge_icon
15,서촌,Seochon,37.5790,126.9700,180,거리,서울,종로구,일반,50,FALSE,경복궁 서쪽·예술가의 동네,통인시장·옛 가옥,#7A6E5E,🎨
16,N서울타워,N Seoul Tower,37.5512,126.9882,100,랜드마크,서울,용산구,특별,300,TRUE,서울의 상징 타워·연인의 자물쇠,타워 실루엣 + 야경,#FF6B6B,🗼
17,롯데월드타워,Lotte World Tower,37.5125,127.1025,100,랜드마크,서울,송파구,희귀,150,TRUE,국내 최고층 555m·서울 스카이라인,초고층 타워 실루엣,#1E3A8A,🏙
18,63빌딩,63 Building,37.5197,126.9402,80,랜드마크,서울,영등포구,일반,50,FALSE,한강변 황금빛 빌딩·아쿠아리움,황금 빌딩 실루엣,#FFD700,🏢
19,DDP 동대문디자인플라자,DDP,37.5673,127.0096,120,랜드마크,서울,중구,일반,50,FALSE,자하 하디드 설계 미래형 건축,곡선 메탈 형상,#C0C0C0,🛸
20,서울로 7017,Seoullo 7017,37.5559,126.9716,100,거리,서울,중구,일반,50,FALSE,서울역 고가 보행자 공원,식물·하늘길,#5DAE5D,🌿
21,코엑스 별마당도서관,Starfield Library COEX,37.5125,127.0590,60,문화,서울,강남구,일반,50,FALSE,초대형 책장이 인상적인 도서관,거대 책장,#3B82F6,📚
22,청와대,Cheong Wa Dae,37.5870,126.9747,150,역사,서울,종로구,특별,400,TRUE,前 대통령 관저·일반 개방,청기와 본관,#1F4E79,🏛
23,광장시장,Gwangjang Market,37.5703,126.9999,80,시장,서울,종로구,일반,50,FALSE,한국 최초의 상설시장·먹거리 천국,빈대떡·잔치국수,#E63946,🥘
24,남대문시장,Namdaemun Market,37.5602,126.9779,100,시장,서울,중구,일반,50,FALSE,600년 전통 종합시장,상점가·갈치골목,#E63946,🛍
25,명동,Myeongdong,37.5636,126.9826,200,거리,서울,중구,일반,50,FALSE,쇼핑·먹거리·외국인 관광 중심지,화장품·간판 네온,#FF69B4,🛍
26,홍대 거리,Hongdae Street,37.5563,126.9233,200,거리,서울,마포구,일반,50,FALSE,예술·인디 음악·클럽 중심지,스프레이 아트·기타,#9333EA,🎸
27,가로수길,Garosu-gil,37.5202,127.0233,150,거리,서울,강남구,일반,50,FALSE,은행나무 가로수와 패션 거리,가로수 + 쇼핑백,#FFD700,👗
28,여의도 한강공원,Yeouido Hangang Park,37.5285,126.9337,200,한강,서울,영등포구,일반,50,FALSE,벚꽃·불꽃축제·자전거 코스,벚꽃 + 한강 다리,#FFB6C1,🌸
29,반포 한강공원,Banpo Hangang Park,37.5117,126.9970,200,한강,서울,서초구,희귀,150,TRUE,달빛무지개분수·세빛섬,분수 무지개,#7DD3FC,🌈
30,뚝섬 한강공원,Ttukseom Hangang Park,37.5302,127.0667,200,한강,서울,광진구,일반,50,FALSE,자벌레 전망대·수영장,자벌레 + 한강뷰,#10B981,🌊
31,잠실 한강공원,Jamsil Hangang Park,37.5183,127.0822,200,한강,서울,송파구,일반,50,FALSE,롯데타워 야경 명소,롯데타워 + 한강,#1E40AF,🌃
32,망원 한강공원,Mangwon Hangang Park,37.5527,126.8993,180,한강,서울,마포구,일반,50,FALSE,석양·돗자리 명소,석양 + 강변 텐트,#FB923C,🌅
33,남산공원,Namsan Park,37.5512,126.9942,200,자연,서울,중구,일반,50,FALSE,서울 도심의 푸른 허파,소나무 + 산책로,#15803D,🌲
34,북한산 국립공원,Bukhansan National Park,37.6584,126.9870,300,자연,서울,은평구,특별,400,TRUE,서울의 명산·백운대 정상,백운대 봉우리,#374151,⛰
35,인왕산,Inwangsan,37.5818,126.9573,200,자연,서울,종로구,희귀,150,TRUE,호랑이 전설·서울 성곽 코스,호랑이 + 성곽,#92400E,🐯
36,청계산,Cheonggyesan,37.4348,127.0454,250,자연,서울,서초구,희귀,150,TRUE,수도권 단풍 명산,단풍나무,#DC2626,🍁
37,서울숲,Seoul Forest,37.5444,127.0376,250,자연,서울,성동구,일반,50,FALSE,도심 속 사슴 사육·생태 공원,사슴 + 나무,#65A30D,🦌
38,올림픽공원,Olympic Park,37.5202,127.1217,300,자연,서울,송파구,일반,50,FALSE,86 올림픽 유산·9경 산책로,평화의 문 + 잔디,#0EA5E9,🕊
39,국립중앙박물관,National Museum of Korea,37.5240,126.9803,150,문화,서울,용산구,희귀,150,TRUE,한국 최대 박물관·반가사유상,반가사유상 실루엣,#7C2D12,🗿
40,국립현대미술관 서울,MMCA Seoul,37.5790,126.9802,100,문화,서울,종로구,일반,50,FALSE,경복궁 옆 현대미술관,모던 큐브,#1F2937,🎨
41,리움미술관,Leeum Museum of Art,37.5384,126.9994,80,문화,서울,용산구,희귀,150,TRUE,삼성 운영·고미술+현대미술,코르텐 메탈 외관,#78350F,🖼
42,전쟁기념관,War Memorial of Korea,37.5366,126.9774,150,문화,서울,용산구,일반,50,FALSE,한국전쟁 추모·야외 전시,평화의 시계탑,#1E293B,🪖
43,국립민속박물관,National Folk Museum,37.5811,126.9774,100,문화,서울,종로구,일반,50,FALSE,경복궁 내·한국 전통 생활,장승 + 떡살,#92400E,🏮
44,강남역,Gangnam Station,37.4979,127.0276,180,거리,서울,강남구,일반,50,FALSE,서울 최대 유동인구·번화가,네온 사인·고층빌딩,#0EA5E9,🌆
45,이태원,Itaewon,37.5347,126.9947,180,거리,서울,용산구,일반,50,FALSE,글로벌 거리·다양한 문화,세계 국기 모자이크,#A855F7,🌍
46,서울식물원 (마곡),Seoul Botanic Park,37.5694,126.8359,250,자연,서울,강서구,일반,50,FALSE,서남권 최대 식물원·온실,거대 온실 돔,#16A34A,🌺
47,청계광장,Cheonggye Plaza,37.5694,126.9783,80,거리,서울,종로구,일반,50,FALSE,청계천 시작점·서울의 도심 휴식처,청계천 조각상 + 물,#06B6D4,💧
48,한강대교 노들섬,Nodeul Island,37.5169,126.9602,150,한강,서울,용산구,희귀,150,TRUE,한강 위 음악 섬·라이브 공연,섬 + 음표,#8B5CF6,🎶
49,광나루 한강공원,Gwangnaru Hangang Park,37.5476,127.1219,200,한강,서울,광진구,일반,50,FALSE,수상레저·아차산 연계,요트 + 강물,#0284C7,⛵
50,망원시장 (망리단길),Mangwon Market,37.5564,126.9043,120,시장,서울,마포구,일반,50,FALSE,로컬 맛집·MZ 핫플,골목 간판 + 떡볶이,#F59E0B,🍡
